Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus;;;Doctor's Actions; pt_Trust; pt_Dist; pt_Aggr; pt_Talk; dialStatus
1; 30.0; 71.0; 71.0; 80.0; N;;;1; 75.0; 11.0; 5.5; 80.0; N;;;5; 65.0; 50.0; 50.0; 50.0; N
2; 35.0; 62.0; 62.0; 80.0; N;;;2; 80.0; 11.0; 5.5; 80.0; N;;;6; 65.0; 42.5; 50.0; 50.0; N
3; 30.0; 80.0; 71.0; 80.0; N;;;3; 90.0; 5.5; 0.0; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; DU
4; 35.0; 80.0; 71.0; 80.0; DU;;;4; 90.0; 0.0; 0.0; 80.0; N;;;2; 50.0; 65.0; 57.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; DU;;;1; 90.0; 0.0; 0.0; 80.0; R;;;3; 60.0; 57.5; 50.0; 50.0; N
2; 20.0; 98.0; 89.0; 80.0; R;;;2; 95.0; 0.0; 0.0; 80.0; N;;;4; 65.0; 50.0; 42.5; 50.0; N
3; 15.0; 100.0; 98.0; 80.0; DU;;;3; 90.0; 11.0; 5.5; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; N
4; 10.0; 100.0; 100.0; 80.0; END;;;4; 95.0; 11.0; 5.5; 80.0; N;;;2; 50.0; 65.0; 57.5; 50.0; N
1; 15.0; 98.0; 89.0; 80.0; R;;;1; 75.0; 11.0; 5.5; 80.0; DU;;;3; 60.0; 57.5; 50.0; 50.0; DU
2; 10.0; 100.0; 100.0; 80.0; DU;;;2; 80.0; 11.0; 5.5; 80.0; N;;;4; 60.0; 50.0; 50.0; 50.0; N
3; 20.0; 91.0; 91.0; 80.0; END;;;3; 90.0; 5.5; 0.0; 80.0; N;;;1; 60.0; 42.5; 42.5; 50.0; N
4; 20.0; 82.0; 91.0; 80.0; R;;;4; 90.0; 0.0; 0.0; 80.0; N;;;2; 60.0; 35.0; 42.5; 50.0; N
5; 15.0; 100.0; 100.0; 80.0; DU;;;1; 75.0; 11.0; 5.5; 80.0; DU;;;3; 55.0; 50.0; 50.0; 50.0; DU
6; 10.0; 100.0; 100.0; 80.0; N;;;2; 80.0; 11.0; 5.5; 80.0; N;;;4; 60.0; 50.0; 50.0; 50.0; N
7; 20.0; 91.0; 91.0; 80.0; N;;;3; 90.0; 5.5; 0.0; 80.0; N;;;1; 45.0; 65.0; 57.5; 50.0; N
